year,Base case diesel consumed,Modeled solar power (pv)
2016,409913.269263,403809.281654
2017,407694.250581,401639.094873
2018,406282.147783,400275.433321
2019,405004.530966,399045.87022
2020,403726.914149,397815.922689
2021,401978.5964,396114.892871
2022,401306.166496,395489.372596
2023,400432.007621,394661.748072
2024,400095.79267,394371.695197
2025,398818.175853,393139.871159
2026,397137.101094,391504.222838
2027,395254.297363,389666.482134
2028,393640.465595,388097.352887
2029,392161.119807,386662.352
2030,390816.259999,385361.482336
2031,389202.42823,383791.288788
2032,386916.166558,381548.316231
2033,384293.689934,378968.78241
2034,382007.428261,376725.119997
2035,379788.409579,374548.359782
