year,Base case cost,Modeled wind power
2019,1150212.86794,1577991.36008
2020,1227329.81901,1631250.78041
2021,1278291.93655,1662122.48986
2022,1320297.28777,1686057.91059
2023,1345451.54561,1695736.11028
2024,1368327.61093,1703983.65661
2025,1391875.43373,1712584.28751
2026,1421750.82191,1726607.71624
2027,1446630.72835,1736464.82646
2028,1464342.53201,1740557.12716
2029,1490212.25526,1751885.05527
2030,1504642.601,1753745.59622
2031,1537349.59151,1771209.56893
2032,1563141.31289,1782559.57072
2033,1587132.93943,1792325.61787
2034,1615891.42155,1806489.62467
2035,1629292.2771,1807822.01426
2036,1659891.19986,1824233.8854
2037,1675396.08858,1828068.18294
2038,1709451.30105,1847744.92291
