year,Base case cost,Modeled solar power (pv)
2016,52010.405054,57869.0704023
2017,63735.2940546,69286.5277069
2018,72754.4394397,78044.0111053
2019,85381.2429788,90361.8761138
2020,91556.6293564,96329.9400197
2021,95602.9410819,100199.177679
2022,98609.322877,103049.473211
2023,100834.687337,105130.764063
2024,102635.306754,106799.042505
2025,104549.334167,108579.664502
2026,107053.939072,110945.689286
2027,108951.918184,112716.473251
2028,110345.980632,113990.384657
2029,113226.115789,116741.081001
2030,114509.979901,117914.513761
2031,116976.068882,120256.908384
2032,119216.946701,122376.933844
2033,121438.566558,124480.481606
2034,123934.612368,126857.292314
2035,125301.927647,128119.651079
