year,Base case cost,"Ouzinkie (unnamed stream, site #1) -- unnamed creek, 1","Ouzinkie (unnamed stream, site #2) -- unnamed creek 2"
2021,95602.9410819,632633.65382,361738.788649
2022,98609.322877,618165.259996,354072.300089
2023,100834.687337,604047.885159,346448.34453
2024,102635.306754,590630.448793,339219.114688
2025,104549.334167,577216.364861,331944.500463
2026,107053.939072,563866.605468,324773.02159
2027,108951.918184,551013.867751,317802.716207
2028,110345.980632,538344.987344,310807.823388
2029,113226.115789,526206.678057,304475.670125
2030,114509.979901,514374.526666,297993.694871
2031,116976.068882,502347.308056,291538.858333
2032,119216.946701,490348.252244,284999.390697
2033,121438.566558,478577.373702,278577.950164
2034,123934.612368,466913.370929,272240.243331
2035,125301.927647,455584.170866,265879.011503
2036,127753.038214,444341.647967,259755.151611
2037,129022.993798,433779.758784,253874.037271
2038,131435.588441,422943.528267,247958.455483
2039,133003.507488,412295.611835,241966.794155
2040,135656.291708,401714.586789,236202.003252
2041,134895.602222,392425.817247,230709.659271
2042,134134.912736,383336.92438,225328.21333
2043,133627.786412,374696.787385,220308.629777
2044,133120.660088,366247.267755,215394.8069
2045,132359.970602,357730.334951,210330.702891
2046,131599.281115,349395.18877,205367.459977
2047,131092.154791,341491.132368,200756.277732
2048,130331.465305,333506.878162,195987.721029
2049,129570.775819,325691.926146,191313.098654
2050,128810.086333,318042.308609,186730.209193
