year,Base case cost,Modeled non-residential energy efficiency
2017,296577.111754,270552.345358
2018,311973.681903,284329.735223
2019,333072.685442,303209.862076
2020,343907.308881,312905.062352
2021,350750.228947,319028.346736
2022,356452.662336,324131.083724
2023,359874.122369,327192.725916
2024,363295.582403,330254.368108
2025,366717.042436,333316.010301
2026,371278.989147,337398.19989
2027,375270.692519,340970.115781
2028,378692.152553,344031.757974
2029,382683.855925,347603.673865
2030,385535.072619,350155.042358
2031,390097.01933,354237.231948
