year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2010,,799494.0,1587.45,941884.0,0.0,941884.0
2011,,799494.0,1587.45,839035.0,0.0,839035.0
2012,,799494.0,1587.45,847440.0,0.0,847440.0
2013,,799494.0,1587.45,1036505.0,932365.0,104140.0
2014,,799494.0,1587.45,848108.0,629369.0,218739.0
2015,,799494.0,1587.45,1328258.0,1312377.0,15881.0
2016,start of forecast,799494.0,1587.45,1069000.0,956080.0,112920.0
2017,,799494.0,1587.45,1061000.0,948080.0,112920.0
2018,,799494.0,1587.45,1047000.0,934080.0,112920.0
2019,,799494.0,1587.45,1024000.0,911080.0,112920.0
2020,,799494.0,1587.45,1002000.0,889080.0,112920.0
2021,,799494.0,1587.45,981000.0,868080.0,112920.0
2022,,799494.0,1587.45,958000.0,845080.0,112920.0
2023,,799494.0,1587.45,935000.0,822080.0,112920.0
2024,,799494.0,1587.45,911000.0,798080.0,112920.0
2025,,799494.0,1587.45,886000.0,773080.0,112920.0
2026,,799494.0,1587.45,860000.0,747080.0,112920.0
2027,,799494.0,1587.45,836000.0,723080.0,112920.0
2028,,799494.0,1587.45,812000.0,699080.0,112920.0
2029,,799494.0,1587.45,774000.0,661080.0,112920.0
2030,,799494.0,1587.45,740000.0,627080.0,112920.0
2031,,799494.0,1587.45,714000.0,601080.0,112920.0
2032,,799494.0,1587.45,697000.0,584080.0,112920.0
2033,,799494.0,1587.45,684000.0,571080.0,112920.0
2034,,799494.0,1587.45,671000.0,558080.0,112920.0
2035,,799494.0,1587.45,657000.0,544080.0,112920.0
2036,,799494.0,1587.45,642000.0,529080.0,112920.0
2037,,799494.0,1587.45,626000.0,513080.0,112920.0
2038,,799494.0,1587.45,613000.0,500080.0,112920.0
2039,,799494.0,1587.45,604000.0,491080.0,112920.0
2040,,799494.0,1587.45,598000.0,485080.0,112920.0
