year,Base case cost,Modeled water and wastewater efficiency
2017,40707.8142848,33679.7495732
2018,42233.8965064,34567.5995063
2019,44418.5384874,35886.1854768
2020,45426.2790746,36441.1887394
2021,46179.1531055,36832.7306334
2022,46674.4050649,37058.7833823
2023,47067.6897916,37220.7345152
2024,47357.2542888,37317.2824158
2025,47697.473411,37448.9210083
2026,48189.5808834,37681.446801
2027,48529.606903,37817.0946
2028,48818.9482668,37921.7693395
2029,49250.4777894,38120.3407357
2030,49481.1826013,38190.2842259
2031,49920.2075974,38397.9352227
