year,annotation,Average Load
2010,,87.0
2011,,82.0
2012,,86.0
2013,,89.0
2014,,75.0
2015,,125.0
2016,start of forecast,96.0
2017,,95.0
2018,,94.0
2019,,92.0
2020,,90.0
2021,,88.0
2022,,86.0
2023,,84.0
2024,,82.0
2025,,79.0
2026,,77.0
2027,,75.0
2028,,73.0
2029,,69.0
2030,,66.0
2031,,64.0
2032,,63.0
2033,,61.0
2034,,60.0
2035,,59.0
2036,,58.0
2037,,56.0
2038,,55.0
2039,,54.0
2040,,54.0
