year,Base case cost,Modeled biomass for heat (cordwood)
2017,149352.02013,181334.302663
2018,166510.22013,193287.838847
2019,191103.64013,210756.267226
2020,202542.44013,218514.780594
2021,211121.54013,224175.187641
2022,216840.94013,227737.104121
2023,221416.46013,230468.855162
2024,224848.10013,232370.074322
2025,228851.68013,234709.104106
2026,234571.08013,238331.395285
2027,238574.66013,240699.205876
2028,242006.30013,242658.002839
2029,247153.76013,245899.061181
2030,250013.46013,247461.762239
2031,255160.92013,250728.996571
2032,,
2033,,
2034,,
2035,,
2036,,
