year,Base case cost,Phonograph creek (pelican),Cann creek (lisianski inlet)
2021,24855.2804575,1851353.96536,432449.085422
2022,25620.0583177,1812616.19659,423398.385212
2023,26231.8806059,1774990.32211,414604.175966
2024,26690.7473221,1738455.69724,406061.624016
2025,27226.0918242,1702645.57943,397690.627454
2026,27990.8696845,1667309.22563,389436.322125
2027,28526.2141866,1633120.5728,381444.969453
2028,28985.0809028,1599829.79013,373661.918872
2029,29673.380977,1566956.43229,365982.368472
2030,30055.7699071,1535291.28369,358578.01596
2031,30744.0699813,1503892.63974,351243.749686
2032,31508.8478415,1473090.00527,344050.952846
2033,32197.1479157,1443097.7579,337045.975129
2034,33038.403562,1413553.03045,330149.621999
2035,33497.2702781,1385248.60934,323534.059903
2036,34262.0481383,1357129.2182,316969.50786
2037,34720.9148545,1330103.90754,310653.432015
2038,35562.1705007,1303118.12018,304356.219771
2039,36173.9927889,1277081.60975,298275.501906
2040,37015.2484352,1251287.08689,292257.207983
2041,37015.2484352,1227338.13866,286649.888694
2042,37015.2484352,1203950.49389,281173.990947
2043,37015.2484352,1181110.99714,275826.434576
2044,37015.2484352,1158806.80101,270604.211537
2045,37015.2484352,1137025.35956,265504.384371
2046,37015.2484352,1115754.42062,260524.084397
2047,37015.2484352,1094982.01936,255660.510216
2048,37015.2484352,1074696.47126,250910.926055
2049,37015.2484352,1054886.3655,246272.660228
2050,37015.2484352,1035540.55923,241743.103789
2051,37015.2484352,1016648.17032,237319.708835
2052,37015.2484352,998198.571768,232999.987197
2053,37015.2484352,980181.385746,228781.509051
2054,37015.2484352,962586.477372,224661.901452
2055,37015.2484352,945403.94972,220638.847169
2056,37015.2484352,928624.137575,216710.083224
2057,37015.2484352,912237.602299,212873.399689
2058,37015.2484352,896235.126378,209126.638409
2059,37015.2484352,880607.708614,205467.691877
2060,37015.2484352,865346.558352,201894.50188
2061,37015.2484352,850443.091307,198405.058526
2062,37015.2484352,835888.924279,194997.399002
2063,37015.2484352,821675.870496,191669.606488
2064,37015.2484352,807795.935291,188419.809141
2065,37015.2484352,794241.310964,185246.178895
2066,37015.2484352,781004.3731,182146.930598
2067,37015.2484352,768077.676075,179120.320958
2068,37015.2484352,755453.948407,176164.647457
2069,37015.2484352,743126.089391,173278.247562
2070,37015.2484352,731087.164604,170459.497672
