year,Base case cost,Modeled non-residential energy efficiency
2017,834917.011973,766190.886234
2018,856683.270336,784584.130003
2019,887412.105672,811566.838799
2020,901496.155201,822752.698581
2021,911739.100313,830332.973235
2022,919421.309147,835525.691674
2023,924542.781703,838329.659928
2024,929024.070189,840572.589101
2025,934145.542745,843472.592166
2026,941187.56751,848247.808727
2027,946309.040066,851239.397875
2028,950790.328552,853665.550588
2029,956551.985178,857354.108813
2030,960393.089595,859255.931895
2031,967435.114359,864247.038715
