year,Base case cost,Spiridon (spiridon river),"Larsen bay (unnamed stream, site #1) -- unnamed creek, 1","Larsen bay (unnamed stream, site #3) -- unnamed creek, 3"
2021,36937.740124,15846321.8044,392226.858475,234308.193497
2022,37711.1215932,15517953.5697,383378.857148,228960.136678
2023,37591.5130051,15200469.0593,374377.894612,223299.767849
2024,37336.6868156,14891175.1471,365562.288519,217729.566871
2025,37624.0261986,14588394.8586,357328.4313,212689.253895
2026,37677.3546589,14289001.6243,348619.255578,207165.048492
2027,37406.6635905,13999298.2707,340170.841279,201769.940911
2028,37523.4515662,13717653.5517,332413.988767,196977.939797
2029,37798.5812916,13440406.9106,324700.596638,192204.90561
2030,37792.3357368,13172430.1282,317278.955324,187596.717226
2031,38197.7838487,12905529.8815,309731.547981,182903.706879
2032,37934.3520499,12645036.512,301804.34501,177748.569339
2033,37702.573249,12389325.4685,293917.625987,172594.610823
2034,37417.1845358,12139266.98,286121.038943,167472.095582
2035,36776.1232959,11898794.9121,278662.592954,162547.23993
2036,37000.0287501,11660259.9442,271652.755385,158098.191305
2037,36289.5183056,11430474.5111,264395.812731,153264.211159
2038,35892.0105527,11200729.6976,256890.80378,148232.748274
2039,35875.9409815,10979711.6641,250309.981924,144010.97024
2040,35383.3974749,10759889.2124,242962.281782,139033.785827
2041,33416.8884173,10556535.1394,235922.693014,134065.496328
2042,32105.8823788,10358556.5857,229657.507452,129823.064006
2043,31450.3793596,10165842.941,224163.938756,126304.840162
2044,30139.3733211,9976975.15441,218128.259161,122198.208293
2045,28828.3672827,9792503.23322,212203.314189,118157.098956
2046,27517.3612442,9612324.13821,206386.508214,114179.976298
2047,26206.3552057,9436337.27083,200675.307097,110265.34085
2048,24895.3491673,9264444.36446,195067.235439,106411.7279
2049,24239.8461481,9097204.97184,190215.379211,103273.21028
2050,22928.8401096,8933214.39086,184806.372112,99537.3853658
