year,Base case cost,Modeled residential energy efficiency
2017,181843.692319,182934.768122
2018,194318.649029,193494.254334
2019,211427.161089,208186.287536
2020,219624.989785,214967.335814
2021,224971.399803,219224.87814
2022,228892.100484,222226.344701
2023,221051.302675,213596.173719
2024,223432.023111,215238.115629
2025,226152.846465,217191.495128
2026,229213.772739,219456.058294
2027,220719.998321,210215.753481
2028,222662.669346,211500.984623
2029,225576.675883,213648.905404
2030,227195.568403,214669.335205
2031,230433.353444,217120.55517
