year,Base case diesel consumed,Modeled residential energy efficiency
2017,21684.054521,17734.0557258
2018,21684.054521,17734.0557258
2019,21684.054521,17734.0557258
2020,21684.054521,17734.0557258
2021,21684.054521,17734.0557258
2022,21684.054521,17734.0557258
2023,20609.9601541,16659.9613588
2024,20609.9601541,16659.9613588
2025,20609.9601541,16659.9613588
2026,20609.9601541,16659.9613588
2027,19535.8657871,15585.8669918
2028,19535.8657871,15585.8669918
2029,19535.8657871,15585.8669918
2030,19535.8657871,15585.8669918
2031,19535.8657871,15585.8669918
