year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,30068.08,167716.96,118845.22,26472.33,98291.9,62998.47
2018,32230.96,179806.65,126434.64,28521.07,105914.45,67884.01
2019,35199.2,196386.8,136842.99,31332.56,116368.23,74584.18
2020,36618.51,204331.46,141830.32,32676.97,121377.33,77794.67
2021,37540.77,209512.75,145082.93,33550.6,124644.14,79888.47
2022,38212.65,213312.37,147468.17,34187.11,127039.8,81423.93
2023,38695.81,216075.73,141812.31,34644.9,128782.09,79239.0
2024,39118.39,218493.67,143255.0,35045.27,130306.6,80177.02
2025,39604.19,221257.03,144903.8,35505.5,132048.9,81249.05
2026,40154.02,224365.81,146758.7,36026.33,134008.98,82455.08
2027,40640.6,227129.16,140673.19,36487.26,135751.28,80046.81
2028,41002.47,229201.68,141845.34,36830.09,137058.0,80817.33
2029,41561.56,232310.46,143603.57,37359.57,139018.08,81973.11
2030,41870.54,234037.56,144580.36,37652.2,140107.02,82615.2
2031,42485.37,237491.76,146533.95,38234.53,142284.89,83899.4
