year,Base case cost,Modeled solar power (pv)
2016,125022.651996,128411.185613
2017,144760.644474,147754.780205
2018,159350.724827,162041.937178
2019,178783.999315,181100.576729
2020,188094.567881,190191.404836
2021,194195.333811,196123.877004
2022,199082.575444,200869.770695
2023,202331.944226,203998.32979
2024,205179.665418,206733.837355
2025,208884.869,210323.855981
2026,212549.717155,213870.624984
2027,215807.796839,217018.994544
2028,218727.919221,219843.13147
2029,221915.191265,222920.298174
2030,223951.196798,224870.643835
2031,228521.815911,229330.719599
2032,232194.524958,232900.841865
2033,236275.281195,236876.124515
2034,240880.722427,241378.569342
2035,243334.525477,243752.783107
