year,annotation,Average Load
2003,,271.0
2004,,278.0
2005,,279.0
2006,,280.0
2007,,277.0
2008,,284.0
2009,,286.0
2010,,299.0
2011,,312.0
2012,,333.0
2013,,327.0
2014,start of forecast,327.0
2015,,329.0
2016,,331.0
2017,,333.0
2018,,335.0
2019,,337.0
2020,,339.0
2021,,343.0
2022,,345.0
2023,,348.0
2024,,350.0
2025,,352.0
2026,,356.0
2027,,359.0
2028,,362.0
2029,,364.0
2030,,367.0
2031,,370.0
2032,,372.0
2033,,375.0
2034,,379.0
2035,,381.0
2036,,384.0
2037,,387.0
2038,,390.0
2039,,393.0
2040,,396.0
