year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8688.50878987,5647.53071341
2018,8698.87073208,5654.26597585
2019,8708.70597003,5660.65888052
2020,8718.56976504,5667.07034728
2021,8735.52171568,5678.08911519
2022,8745.15918933,5684.35347306
2023,8757.524129,5692.39068385
2024,8766.50252174,5698.22663913
2025,8777.88984919,5705.62840198
2026,8797.46517938,5718.3523666
2027,8810.34588089,5726.72482258
2028,8822.03279058,5734.32131388
2029,8833.21247886,5741.58811126
2030,8844.89498488,5749.18174017
2031,8858.83963701,5758.24576406
