year,Base case diesel consumed,Fivemile creek hydroelectric project,Fivemile creek (chitina),Chitina (haley creek)
2020,41178.6713676,1829.26776456,,
2021,41178.6713676,1829.26776456,0.0,33964.168144
2022,41178.6713676,1829.26776456,0.0,33964.168144
2023,41178.6713676,1829.26776456,0.0,33964.168144
2024,41178.6713676,1829.26776456,0.0,33964.168144
2025,41178.6713676,1829.26776456,0.0,33964.168144
2026,41178.6713676,1829.26776456,0.0,33964.168144
2027,41178.6713676,1829.26776456,0.0,33964.168144
2028,41095.1446508,1745.74104779,0.0,33880.6414272
2029,41095.1446508,1745.74104779,0.0,33880.6414272
2030,41095.1446508,1745.74104779,0.0,33880.6414272
2031,41095.1446508,1745.74104779,0.0,33880.6414272
2032,41095.1446508,1745.74104779,0.0,33880.6414272
2033,41095.1446508,1745.74104779,0.0,33880.6414272
2034,41095.1446508,1745.74104779,0.0,33880.6414272
2035,41011.617934,1662.21433102,0.0,33797.1147104
2036,41011.617934,1662.21433102,0.0,33797.1147104
2037,41011.617934,1662.21433102,0.0,33797.1147104
2038,41011.617934,1662.21433102,0.0,33797.1147104
2039,41011.617934,1662.21433102,0.0,33797.1147104
2040,41011.617934,1662.21433102,0.0,33797.1147104
2041,41011.617934,1662.21433102,0.0,33797.1147104
2042,41011.617934,1662.21433102,0.0,33797.1147104
2043,40928.0912173,1578.68761425,0.0,33713.5879937
2044,40928.0912173,1578.68761425,0.0,33713.5879937
2045,40928.0912173,1578.68761425,0.0,33713.5879937
2046,40928.0912173,1578.68761425,0.0,33713.5879937
2047,40928.0912173,1578.68761425,0.0,33713.5879937
2048,40928.0912173,1578.68761425,0.0,33713.5879937
2049,40928.0912173,1578.68761425,0.0,33713.5879937
2050,40928.0912173,1578.68761425,0.0,33713.5879937
2051,40928.0912173,1578.68761425,0.0,33713.5879937
2052,40928.0912173,1578.68761425,0.0,33713.5879937
2053,40928.0912173,1578.68761425,0.0,33713.5879937
2054,40928.0912173,1578.68761425,0.0,33713.5879937
2055,40928.0912173,1578.68761425,0.0,33713.5879937
2056,40928.0912173,1578.68761425,0.0,33713.5879937
2057,40928.0912173,1578.68761425,0.0,33713.5879937
2058,40928.0912173,1578.68761425,0.0,33713.5879937
2059,40928.0912173,1578.68761425,0.0,33713.5879937
2060,40928.0912173,1578.68761425,0.0,33713.5879937
2061,40928.0912173,1578.68761425,0.0,33713.5879937
2062,40928.0912173,1578.68761425,0.0,33713.5879937
2063,40928.0912173,1578.68761425,0.0,33713.5879937
2064,40928.0912173,1578.68761425,0.0,33713.5879937
2065,40928.0912173,1578.68761425,0.0,33713.5879937
2066,40928.0912173,1578.68761425,0.0,33713.5879937
2067,40928.0912173,1578.68761425,0.0,33713.5879937
2068,40928.0912173,1578.68761425,0.0,33713.5879937
2069,40928.0912173,1578.68761425,0.0,33713.5879937
2070,40928.0912173,1578.68761425,0.0,33713.5879937
