year,Base case cost,Modeled biomass for heat (cordwood)
2017,110670.63917,144986.410001
2018,121518.77917,152274.192329
2019,136916.13917,162942.915185
2020,143914.93917,167418.425989
2021,149164.03917,170616.581112
2022,153013.37917,172795.746301
2023,155462.95917,173955.546325
2024,157912.53917,175130.614707
2025,160362.11917,176320.593593
2026,163511.57917,178042.633499
2027,166311.09917,179520.143183
2028,168760.67917,180752.789368
2029,171560.19917,182257.746564
2030,173659.83917,183258.446972
2031,176809.29917,185048.330151
2032,,
2033,,
2034,,
2035,,
2036,,
