year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,34994.0,24963.0990311
2018,34994.0,24963.0990311
2019,34994.0,24963.0990311
2020,34994.0,24963.0990311
2021,34994.0,24963.0990311
2022,34994.0,24963.0990311
2023,34994.0,24963.0990311
2024,34994.0,24963.0990311
2025,34994.0,24963.0990311
2026,34994.0,24963.0990311
2027,34994.0,24963.0990311
2028,34994.0,24963.0990311
2029,34994.0,24963.0990311
2030,34994.0,24963.0990311
2031,34994.0,24963.0990311
2032,,
2033,,
2034,,
2035,,
2036,,
