year,Base case diesel consumed,Modeled solar power (pv)
2016,41178.6713676,40439.7962622
2017,41178.6713676,40445.7072631
2018,41178.6713676,40451.5709759
2019,41178.6713676,40457.387779
2020,41178.6713676,40463.1580477
2021,41178.6713676,40468.8821543
2022,41178.6713676,40474.560468
2023,41178.6713676,40480.1933552
2024,41178.6713676,40485.7811793
2025,41178.6713676,40491.3243008
2026,41178.6713676,40496.8230773
2027,41178.6713676,40502.2778637
2028,41095.1446508,40424.1622949
2029,41095.1446508,40429.5301538
2030,41095.1446508,40434.8550697
2031,41095.1446508,40440.1373864
2032,41095.1446508,40445.3774445
2033,41095.1446508,40450.5755822
2034,41095.1446508,40455.7321347
2035,41011.617934,40377.3207181
