year,Base case cost,Fivemile creek hydroelectric project,Fivemile creek (chitina),Chitina (haley creek)
2020,130124.601521,440127.485329,,
2021,136301.402227,432560.8065,639834.742622,753078.959544
2022,140831.056077,424954.367572,627079.883509,744230.349239
2023,143713.563073,417303.521733,614600.560964,734289.848463
2024,146596.070069,409841.755324,602414.748666,724639.290334
2025,149478.577064,402564.636752,590515.567496,715271.87935
2026,153184.657487,395586.850488,578908.808435,706875.375054
2027,156478.951197,388725.6521,567569.147634,698401.702978
2028,159038.209799,381653.665972,556166.929987,689521.285887
2029,162325.821371,375125.688376,545348.222526,681562.153774
2030,164791.53005,368644.369491,534773.256146,673161.781433
2031,168490.093068,362499.219482,524463.16032,666046.088134
2032,172599.607533,356569.143037,514401.269718,659516.592462
2033,176298.170552,350733.132983,504571.055516,652874.947854
2034,180818.636463,345163.621816,494983.218574,647154.753074
2035,182911.815986,339073.889075,485221.868406,639553.579418
2036,187423.093958,333783.099008,476071.768169,634265.689
2037,189883.791035,328342.044932,467114.385424,627463.177745
2038,193984.952828,323267.990796,458385.921729,622250.799729
2039,197265.882263,318210.743967,449853.937906,616550.51504
2040,202187.276415,313514.212584,441541.117741,612430.726776
2041,202187.276415,308249.996118,433369.411136,604358.346783
2042,202187.276415,303109.159747,425389.228899,596475.163191
2043,201775.489701,297677.024995,417184.295503,588364.955034
2044,201775.489701,292774.341384,409573.800667,580846.965314
2045,201775.489701,287986.564413,402141.676831,573505.178506
2046,201775.489701,283311.000977,394883.743389,566335.464817
2047,201775.489701,278745.021058,387795.91778,559333.79131
2048,201775.489701,274286.056252,380874.213083,552496.219526
2049,201775.489701,269931.598464,374114.735776,545818.903268
2050,201775.489701,265679.198286,367513.683765,539298.086654
2051,201775.489701,261526.463735,361067.343919,532930.101689
2052,201775.489701,257471.058915,354772.090159,526711.366368
2053,201775.489701,253510.702611,348624.381432,520638.382679
2054,201775.489701,249643.167172,342620.759577,514707.734494
2055,201775.489701,245866.277097,336757.847629,508916.085895
2056,201775.489701,242177.907889,331032.347686,503260.179066
2057,201775.489701,238575.984819,325441.039154,497736.83256
2058,201775.489701,235058.48185,319980.776894,492342.939466
2059,201775.489701,231623.420334,314648.489574,487075.465784
2060,201775.489701,228268.868074,309441.177703,481931.448482
2061,201775.489701,224992.938134,304355.912207,476907.994088
2062,201775.489701,221793.787792,299389.832624,472002.27691
2063,201775.489701,218669.617566,294540.145515,467211.537463
2064,201775.489701,215618.670056,289804.122993,462533.081015
2065,201775.489701,212639.229118,285179.100963,457964.275856
2066,201775.489701,209729.618851,280662.477872,453502.552052
2067,201775.489701,206888.202552,276251.713172,449145.399936
2068,201775.489701,204113.381955,271944.325733,444890.368538
2069,201775.489701,201403.596223,267737.892699,440735.06445
2070,201775.489701,201403.596223,263630.047951,436677.150313
