year,Base case cost,Modeled diesel efficiency
2019,121888.867248,288881.98758
2020,130124.601521,292195.411087
2021,136301.402227,293734.895732
2022,140831.056077,293872.500444
2023,143713.563073,292605.986334
2024,146596.070069,291430.573188
2025,149478.577064,290344.125847
2026,153184.657487,290093.262289
2027,156478.951197,289552.891563
2028,159038.209799,288427.162941
2029,162325.821371,288044.487327
2030,164791.53005,286993.644774
2031,168490.093068,287140.744398
2032,172599.607533,287736.793231
2033,176298.170552,288032.8406
2034,180818.636463,289147.938442
2035,182911.815986,288126.593917
2036,187423.093958,289372.057465
2037,189883.791035,288820.287
2038,193984.952828,289825.209846
