year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,5368.69,110671.59,194119.11,5898.42,159159.19,169626.24
2018,5905.45,121519.83,208361.19,6179.54,166447.83,177394.23
2019,6653.87,136917.32,228575.74,6563.77,176793.01,188419.76
2020,6988.38,143916.18,237764.18,6732.93,181495.37,193431.36
2021,7227.73,149165.33,244655.51,6849.04,185022.13,197190.06
2022,7402.34,153014.7,249709.15,6933.62,187608.43,199946.44
2023,7509.81,155464.3,252925.1,6984.19,189254.25,201700.5
2024,7605.79,157913.9,256141.05,7024.29,190900.08,203454.56
2025,7708.87,160363.5,259357.0,7071.17,192545.9,205208.63
2026,7827.83,163512.99,263491.8,7119.38,194661.96,207463.85
2027,7951.19,166312.53,267167.17,7178.55,196542.9,209468.49
2028,8045.48,168762.14,262141.19,7218.18,198188.72,206998.1
2029,8126.03,171561.68,265704.53,7239.54,200069.67,208962.65
2030,8182.16,173661.34,268377.04,7252.2,201480.37,210436.06
2031,8297.14,176810.82,272385.8,7298.98,203596.43,212646.17
2032,,,276839.97,,,215101.86
2033,,,280848.73,,,217311.98
2034,,,285748.32,,,220013.23
2035,,,279352.64,,,216966.51
2036,,,284098.19,,,219612.63
