year,Base case diesel consumed,Modeled diesel efficiency
2019,41178.6713676,37435.1557887
2020,41178.6713676,37435.1557887
2021,41178.6713676,37435.1557887
2022,41178.6713676,37435.1557887
2023,41178.6713676,37435.1557887
2024,41178.6713676,37435.1557887
2025,41178.6713676,37435.1557887
2026,41178.6713676,37435.1557887
2027,41178.6713676,37435.1557887
2028,41095.1446508,37359.2224098
2029,41095.1446508,37359.2224098
2030,41095.1446508,37359.2224098
2031,41095.1446508,37359.2224098
2032,41095.1446508,37359.2224098
2033,41095.1446508,37359.2224098
2034,41095.1446508,37359.2224098
2035,41011.617934,37283.2890309
2036,41011.617934,37283.2890309
2037,41011.617934,37283.2890309
2038,41011.617934,37283.2890309
