year,Base case cost,Modeled biomass for heat (pellet)
2017,110670.63917,124622.088856
2018,121518.77917,132064.420321
2019,136916.13917,142758.897533
2020,143914.93917,147469.011126
2021,149164.03917,150937.591008
2022,153013.37917,153414.112982
2023,155462.95917,154898.425501
2024,157912.53917,156388.90453
2025,160362.11917,157885.40554
2026,163511.57917,159887.049372
2027,166311.09917,161644.805225
2028,168760.67917,163158.538496
2029,171560.19917,164927.379716
2030,173659.83917,166202.307552
2031,176809.29917,168231.351594
2032,,
2033,,
2034,,
2035,,
2036,,
