year,Base case diesel consumed,Modeled transmission and interties
2021,41178.6713676,0.0
2022,41178.6713676,0.0
2023,41178.6713676,0.0
2024,41178.6713676,0.0
2025,41178.6713676,0.0
2026,41178.6713676,0.0
2027,41178.6713676,0.0
2028,41095.1446508,0.0
2029,41095.1446508,0.0
2030,41095.1446508,0.0
2031,41095.1446508,0.0
2032,41095.1446508,0.0
2033,41095.1446508,0.0
2034,41095.1446508,0.0
2035,41011.617934,0.0
2036,41011.617934,0.0
2037,41011.617934,0.0
2038,41011.617934,0.0
2039,41011.617934,0.0
2040,41011.617934,0.0
