year,Base case cost,Modeled solar power (pv)
2016,74121.6084616,78794.2953838
2017,91004.8637223,95261.3988998
2018,103770.251846,107691.039382
2019,121888.867248,125386.544238
2020,130124.601521,133378.684862
2021,136301.402227,139352.301017
2022,140831.056077,143711.195249
2023,143713.563073,146454.608917
2024,146596.070069,149201.227139
2025,149478.577064,151950.98129
2026,153184.657487,155513.740716
2027,156478.951197,158674.698725
2028,159038.209799,161110.377769
2029,162325.821371,164270.628514
2030,164791.53005,166625.102125
2031,168490.093068,170195.427193
2032,172599.607533,174173.110296
2033,176298.170552,177749.235891
2034,180818.636463,182137.261301
2035,182911.815986,184132.647531
