year,Base case cost,Modeled water and wastewater efficiency
2017,144306.967271,117945.077208
2018,151668.007171,122709.890436
2019,161504.700513,129214.056006
2020,166022.210547,132009.152625
2021,169047.101582,133770.004711
2022,171324.082718,135016.620108
2023,173048.581066,135885.497372
2024,174386.252576,136491.767081
2025,175919.43109,137242.495016
2026,177789.02618,138235.060123
2027,179418.124247,139065.933637
2028,180727.204197,139681.444339
2029,182420.419169,140572.531905
2030,183546.124832,141073.855558
2031,185425.162079,142108.276416
