year,Base case diesel consumed,Modeled solar power (pv)
2016,89075.5540855,88469.3605485
2017,89004.2163121,88402.8723233
2018,88932.8785387,88336.3453018
2019,88861.5407652,88269.7797943
2020,88790.2029918,88203.1761087
2021,88790.2029918,88207.8723237
2022,88790.2029918,88212.5309691
2023,88790.2029918,88217.1523453
2024,88790.2029918,88221.7367504
2025,88790.2029918,88226.2844804
2026,88790.2029918,88230.7958285
2027,88647.527445,88092.5955389
2028,88647.527445,88097.0349942
2029,88647.527445,88101.4389338
2030,88647.527445,88105.8076419
2031,88576.1896716,88038.8036269
2032,88576.1896716,88043.1027152
2033,88504.8518982,87976.0296375
2034,88504.8518982,87980.2602156
2035,88433.5141248,87913.1191756
