year,Base case cost,Modeled biomass for heat (cordwood)
2017,484502.211322,512447.742884
2018,512896.551322,532452.476825
2019,550755.671322,559517.975075
2020,568229.111322,571456.393876
2021,579878.071322,579090.186647
2022,588614.791322,584583.385742
2023,595167.331322,588476.580495
2024,600263.751322,591310.373423
2025,606088.231322,594707.684289
2026,613368.831322,599209.141071
2027,619921.371322,603190.775328
2028,625017.791322,606110.93496
2029,631570.331322,610133.740486
2030,635938.691322,612552.954259
2031,643219.291322,617156.175951
2032,,
2033,,
2034,,
2035,,
2036,,
