year,Base case cost,Modeled non-residential energy efficiency
2017,894170.36524,861881.698725
2018,941229.463971,902348.333409
2019,1003974.92895,956924.500256
2020,1032934.37432,981238.541317
2021,1052240.67123,996933.768419
2022,1066720.39392,1008338.11922
2023,1077580.18593,1016532.91599
2024,1086026.69083,1022599.50185
2025,1095679.83929,1029783.66481
2026,1107746.27486,1039166.78824
2027,1118606.06688,1047501.42597
2028,1127052.57178,1053704.57527
2029,1137912.36379,1062104.3132
2030,1145152.22514,1067288.82468
2031,1157218.66071,1076832.85926
