year,Base case cost,Modeled solar power (pv)
2016,301966.12835,307694.308165
2017,348896.527943,354160.231429
2018,383300.706502,388192.217845
2019,429201.241896,433650.916227
2020,450166.329169,454346.91846
2021,464372.761647,468336.464178
2022,475027.586006,478802.266532
2023,483018.704276,486625.845077
2024,489234.018485,492688.913695
2025,496337.234724,499637.902454
2026,505216.255024,508355.173139
2027,512382.708632,515369.190709
2028,518588.035553,521436.685805
2029,526566.313023,529269.549642
2030,531885.16467,534462.67956
2031,540314.756997,542748.160182
2032,549172.375964,551465.046796
2033,557580.566958,559735.812208
2034,567316.100667,569331.910203
2035,573049.171528,574949.611441
