year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,8497.51,1308917.0,0.0,1308917.0
2004,,8497.51,1425464.0,0.0,1425464.0
2005,,8497.51,1295166.0,0.0,1295166.0
2006,,8497.51,1315042.0,0.0,1315042.0
2007,,8497.51,1374285.0,0.0,1374285.0
2008,,8497.51,1259105.0,0.0,1259105.0
2009,,8497.51,1253915.0,0.0,1253915.0
2010,,8497.51,1285316.0,0.0,1285316.0
2011,,8497.51,1308841.0,0.0,1308841.0
2012,,8497.51,1350086.0,0.0,1350086.0
2013,,8497.51,1288629.0,0.0,1288629.0
2014,,8497.51,1234382.0,0.0,1234382.0
2015,,8497.51,1362904.0,0.0,1362904.0
2016,start of forecast,8497.51,1257000.0,8355.0,1248645.0
2017,,8497.51,1256000.0,8355.0,1247645.0
2018,,8497.51,1255000.0,8355.0,1246645.0
2019,,8497.51,1254000.0,8355.0,1245645.0
2020,,8497.51,1253000.0,8355.0,1244645.0
2021,,8497.51,1253000.0,8355.0,1244645.0
2022,,8497.51,1253000.0,8355.0,1244645.0
2023,,8497.51,1253000.0,8355.0,1244645.0
2024,,8497.51,1253000.0,8355.0,1244645.0
2025,,8497.51,1253000.0,8355.0,1244645.0
2026,,8497.51,1253000.0,8355.0,1244645.0
2027,,8497.51,1251000.0,8355.0,1242645.0
2028,,8497.51,1251000.0,8355.0,1242645.0
2029,,8497.51,1251000.0,8355.0,1242645.0
2030,,8497.51,1251000.0,8355.0,1242645.0
2031,,8497.51,1250000.0,8355.0,1241645.0
2032,,8497.51,1250000.0,8355.0,1241645.0
2033,,8497.51,1249000.0,8355.0,1240645.0
2034,,8497.51,1249000.0,8355.0,1240645.0
2035,,8497.51,1248000.0,8355.0,1239645.0
2036,,8497.51,1248000.0,8355.0,1239645.0
2037,,8497.51,1248000.0,8355.0,1239645.0
2038,,8497.51,1247000.0,8355.0,1238645.0
2039,,8497.51,1246000.0,8355.0,1237645.0
2040,,8497.51,1246000.0,8355.0,1237645.0
