year,Base case diesel consumed,"Jade creek, east fork"
2021,88790.2029918,74310.3528022
2022,88790.2029918,74310.3528022
2023,88790.2029918,74310.3528022
2024,88790.2029918,74310.3528022
2025,88790.2029918,74310.3528022
2026,88790.2029918,74310.3528022
2027,88647.527445,74167.6772554
2028,88647.527445,74167.6772554
2029,88647.527445,74167.6772554
2030,88647.527445,74167.6772554
2031,88576.1896716,74096.339482
2032,88576.1896716,74096.339482
2033,88504.8518982,74025.0017086
2034,88504.8518982,74025.0017086
2035,88433.5141248,73953.6639351
2036,88433.5141248,73953.6639351
2037,88433.5141248,73953.6639351
2038,88362.1763513,73882.3261617
2039,88290.8385779,73810.9883883
2040,88290.8385779,73810.9883883
2041,88290.8385779,73810.9883883
2042,88219.5008045,73739.6506149
2043,88219.5008045,73739.6506149
2044,88148.1630311,73668.3128415
2045,88148.1630311,73668.3128415
2046,88076.8252577,73596.9750681
2047,88076.8252577,73596.9750681
2048,88005.4874843,73525.6372947
2049,88005.4874843,73525.6372947
2050,87934.1497109,73454.2995212
2051,87934.1497109,73454.2995212
2052,87934.1497109,73454.2995212
2053,87934.1497109,73454.2995212
2054,87934.1497109,73454.2995212
2055,87934.1497109,73454.2995212
2056,87934.1497109,73454.2995212
2057,87934.1497109,73454.2995212
2058,87934.1497109,73454.2995212
2059,87934.1497109,73454.2995212
2060,87934.1497109,73454.2995212
2061,87934.1497109,73454.2995212
2062,87934.1497109,73454.2995212
2063,87934.1497109,73454.2995212
2064,87934.1497109,73454.2995212
2065,87934.1497109,73454.2995212
2066,87934.1497109,73454.2995212
2067,87934.1497109,73454.2995212
2068,87934.1497109,73454.2995212
2069,87934.1497109,73454.2995212
2070,87934.1497109,73454.2995212
