year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,89004.22,9708.37,72806.16,85692.73
2018,88932.88,9705.86,72806.16,84214.95
2019,88861.54,9703.77,72806.16,84214.95
2020,88790.2,9701.97,72806.16,82737.16
2021,88790.2,9701.35,72806.16,82737.16
2022,88790.2,9701.23,72806.16,82737.16
2023,88790.2,9701.8,72806.16,82737.16
2024,88790.2,9702.1,72806.16,82737.16
2025,88790.2,9702.6,72806.16,82737.16
2026,88790.2,9701.43,72806.16,82737.16
2027,88647.53,9698.36,72806.16,82737.16
2028,88647.53,9697.6,72806.16,81259.37
2029,88647.53,9697.01,72806.16,81259.37
2030,88647.53,9696.5,72806.16,81259.37
2031,88576.19,9695.78,72806.16,81259.37
2032,88576.19,,,81259.37
2033,88504.85,,,81259.37
2034,88504.85,,,79781.59
2035,88433.51,,,79781.59
2036,88433.51,,,79781.59
