year,Base case cost,Modeled residential energy efficiency
2017,12041068.2702,12888176.1546
2018,12742550.8649,13395227.67
2019,13686886.0105,14093434.2994
2020,14168510.8104,14431627.7839
2021,14501665.5794,14653426.1003
2022,14796709.7861,14847100.2692
2023,14980200.1647,14952416.1192
2024,15158589.8658,15053739.6454
2025,15325583.8523,15144749.8333
2026,15534006.0666,15269421.0351
2027,15710109.9135,15367218.2155
2028,15859706.9987,15443928.787
2029,16050410.0242,15553905.4921
2030,16152843.1083,15594222.0436
2031,16351158.3051,15709298.9645
2032,16522179.9797,15802411.2831
2033,16706568.5573,15905373.7142
2034,16883562.5286,16001815.876
2035,16998736.4458,16050528.1612
2036,17194643.5127,16163158.9847
