year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,1449672.04284,1072757.3117
2018,1449672.04284,1072757.3117
2019,1449672.04284,1072757.3117
2020,1449672.04284,1072757.3117
2021,1449672.04284,1072757.3117
2022,1449672.04284,1072757.3117
2023,1449672.04284,1072757.3117
2024,1449672.04284,1072757.3117
2025,1449672.04284,1072757.3117
2026,1449672.04284,1072757.3117
2027,1449672.04284,1072757.3117
2028,1449672.04284,1072757.3117
2029,1449672.04284,1072757.3117
2030,1449672.04284,1072757.3117
2031,1449672.04284,1072757.3117
