year,Base case cost,Modeled water and wastewater efficiency
2017,101230.872545,390725.550758
2018,110280.716621,389069.96352
2019,122621.005897,389729.029374
2020,128699.037342,386489.446599
2021,132839.460605,382158.054108
2022,136400.494311,377613.786965
2023,138561.556276,372319.653865
2024,140690.920175,367161.236912
2025,142777.375508,362127.367616
2026,145377.252312,357576.187053
2027,147665.044768,352967.688648
2028,149642.994408,348299.987867
2029,152158.750935,344121.09896
2030,153547.519361,339345.524996
2031,156272.310614,335570.578102
