year,Base case cost,Modeled biomass for heat (cordwood)
2017,3872542.47208,4823853.75642
2018,4336437.51208,5144493.80704
2019,4974293.19208,5594287.2246
2020,5278724.31208,5798053.65111
2021,5481678.39208,5927286.48914
2022,5655639.03208,6035569.45773
2023,5757116.07208,6090733.84921
2024,5858593.11208,6146363.92561
2025,5960070.15208,6202448.77239
2026,6090540.63208,6280415.9062
2027,6206514.39208,6348097.65529
2028,6307991.43208,6405483.85467
2029,6438461.91208,6484721.84059
2030,6510945.51208,6521487.39312
2031,6655912.71208,6612242.83445
2032,,
2033,,
2034,,
2035,,
2036,,
