year,Base case diesel consumed,Modeled non-residential ashp
2017,1449672.04284,1014770.42999
2018,1449672.04284,1014770.42999
2019,1449672.04284,1014770.42999
2020,1449672.04284,1014770.42999
2021,1449672.04284,1014770.42999
2022,1449672.04284,1014770.42999
2023,1449672.04284,1014770.42999
2024,1449672.04284,1014770.42999
2025,1449672.04284,1014770.42999
2026,1449672.04284,1014770.42999
2027,1449672.04284,1014770.42999
2028,1449672.04284,1014770.42999
2029,1449672.04284,1014770.42999
2030,1449672.04284,1014770.42999
2031,1449672.04284,1014770.42999
