year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,1449672.0,1034132.44659
2018,1449672.0,1034132.44659
2019,1449672.0,1034132.44659
2020,1449672.0,1034132.44659
2021,1449672.0,1034132.44659
2022,1449672.0,1034132.44659
2023,1449672.0,1034132.44659
2024,1449672.0,1034132.44659
2025,1449672.0,1034132.44659
2026,1449672.0,1034132.44659
2027,1449672.0,1034132.44659
2028,1449672.0,1034132.44659
2029,1449672.0,1034132.44659
2030,1449672.0,1034132.44659
2031,1449672.0,1034132.44659
2032,,
2033,,
2034,,
2035,,
2036,,
