year,Base case cost,Modeled biomass for heat (pellet)
2017,3872542.47208,4599788.58609
2018,4336437.51208,4919582.15936
2019,4974293.19208,5363732.4577
2020,5278724.31208,5570287.01156
2021,5481678.39208,5704701.04246
2022,5655639.03208,5818675.34263
2023,5757116.07208,5881180.24534
2024,5858593.11208,5943916.81295
2025,5960070.15208,6006879.61579
2026,6090540.63208,6090746.00036
2027,6206514.39208,6164486.81527
2028,6307991.43208,6228097.00372
2029,6438461.91208,6312595.60079
2030,6510945.51208,6355929.83732
2031,6655912.71208,6451166.9239
2032,,
2033,,
2034,,
2035,,
2036,,
