year,Base case diesel consumed,Modeled residential ashp
2017,59990.918967,5526.86017948
2018,59990.918967,5526.86017948
2019,59990.918967,5526.86017948
2020,59990.918967,5526.86017948
2021,59990.918967,5526.86017948
2022,59990.918967,5526.86017948
2023,59990.918967,5526.86017948
2024,59990.918967,5526.86017948
2025,59990.918967,5526.86017948
2026,59990.918967,5526.86017948
2027,59990.918967,5526.86017948
2028,59990.918967,5526.86017948
2029,59990.918967,5526.86017948
2030,59990.918967,5526.86017948
2031,59990.918967,5526.86017948
