year,Base case cost,Modeled biomass for heat (cordwood)
2017,598630.021871,619105.6512
2018,633819.221871,645261.100611
2019,681324.641871,680570.957315
2020,703317.891871,696918.113197
2021,718273.301871,708034.179196
2022,729709.791871,716534.700254
2023,737627.361871,722419.676372
2024,743785.471871,726996.880019
2025,751703.041871,732881.856136
2026,760500.341871,739420.718489
2027,768417.911871,745305.694606
2028,774576.021871,749882.898253
2029,783373.321871,756421.760605
2030,788651.701871,760345.078017
2031,797449.001871,766883.94037
2032,,
2033,,
2034,,
2035,,
2036,,
