year,annotation,Electricity price ($/kwh)
2002,,0.46
2003,,0.5
2004,,0.5
2005,,0.5
2006,,0.52
2007,,0.55
2008,,0.71
2009,,0.79
2010,,0.77
2011,,0.8
2012,,0.88
2013,,0.72
2016,start of forecast,0.41
2017,,0.45
2018,,0.48
2019,,0.52
2020,,0.53
2021,,0.55
2022,,0.56
2023,,0.56
2024,,0.57
2025,,0.57
2026,,0.58
2027,,0.59
2028,,0.59
2029,,0.6
2030,,0.6
2031,,0.61
2032,,0.62
2033,,0.63
2034,,0.64
2035,,0.64
2036,,0.65
2037,,0.65
2038,,0.66
2039,,0.67
2040,,0.68
