year,Base case cost,Modeled water and wastewater efficiency
2017,123882.606404,102759.688392
2018,131451.701649,108051.466022
2019,141688.187848,115208.316418
2020,146400.362827,118502.500075
2021,149606.063933,120743.555248
2022,152100.487319,122487.911584
2023,153840.592393,123704.936834
2024,155198.202683,124654.498984
2025,156919.140427,125857.882901
2026,158808.600314,127178.823029
2027,160505.980745,128365.438337
2028,161815.658604,129280.881675
2029,163728.7136,130618.617545
2030,164858.552918,131408.449868
2031,166780.376417,132752.428647
