year,Base case diesel consumed,Chignik lake -- unnamed creek 1,Chignik lake (cucumber creek),"Chignik lake (unnamed stream, site #6) -- unnamed creek 2"
2021,28104.9358949,0.0,0.0,0.0
2022,28007.6869818,-97.2489131312,-97.2489131312,-97.2489131312
2023,27813.1891555,-291.746739394,-291.746739394,-291.746739394
2024,27618.6913293,-486.244565656,-486.244565656,-486.244565656
2025,27521.4424161,-583.493478787,-583.493478787,-583.493478787
2026,27424.193503,-680.742391919,-680.742391919,-680.742391919
2027,27326.9445899,-777.99130505,-777.99130505,-777.99130505
2028,27229.6956767,-875.240218181,-875.240218181,-875.240218181
2029,27229.6956767,-875.240218181,-875.240218181,-875.240218181
2030,27326.9445899,-777.99130505,-777.99130505,-777.99130505
2031,27229.6956767,-875.240218181,-875.240218181,-875.240218181
2032,27132.4467636,-972.489131312,-972.489131312,-972.489131312
2033,26937.9489374,-1166.98695757,-1166.98695757,-1166.98695757
2034,26743.4511111,-1361.48478384,-1361.48478384,-1361.48478384
2035,26646.202198,-1458.73369697,-1458.73369697,-1458.73369697
2036,26646.202198,-1458.73369697,-1458.73369697,-1458.73369697
2037,26548.9532848,-1555.9826101,-1555.9826101,-1555.9826101
2038,26548.9532848,-1555.9826101,-1555.9826101,-1555.9826101
2039,26451.7043717,-1653.23152323,-1653.23152323,-1653.23152323
2040,26354.4554586,-1750.48043636,-1750.48043636,-1750.48043636
2041,26257.2065454,-1847.72934949,-1847.72934949,-1847.72934949
2042,26257.2065454,-1847.72934949,-1847.72934949,-1847.72934949
2043,26257.2065454,-1847.72934949,-1847.72934949,-1847.72934949
2044,26257.2065454,-1847.72934949,-1847.72934949,-1847.72934949
2045,26257.2065454,-1847.72934949,-1847.72934949,-1847.72934949
2046,26159.9576323,-1944.97826262,-1944.97826262,-1944.97826262
2047,26159.9576323,-1944.97826262,-1944.97826262,-1944.97826262
2048,26159.9576323,-1944.97826262,-1944.97826262,-1944.97826262
2049,26159.9576323,-1944.97826262,-1944.97826262,-1944.97826262
2050,26159.9576323,-1944.97826262,-1944.97826262,-1944.97826262
