year,Base case diesel consumed,Modeled residential ashp
2017,10874.4922408,1380.88790292
2018,10874.4922408,1380.88790292
2019,10874.4922408,1380.88790292
2020,10874.4922408,1380.88790292
2021,10874.4922408,1380.88790292
2022,10267.3136956,773.709357709
2023,10267.3136956,773.709357709
2024,10267.3136956,773.709357709
2025,10267.3136956,773.709357709
2026,10267.3136956,773.709357709
2027,9660.13515039,166.530812503
2028,9660.13515039,166.530812503
2029,9660.13515039,166.530812503
2030,9660.13515039,166.530812503
2031,9660.13515039,166.530812503
