year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,48366.0,40704.3433304
2018,48366.0,40704.3433304
2019,48366.0,40704.3433304
2020,48366.0,40704.3433304
2021,48366.0,40704.3433304
2022,48366.0,40704.3433304
2023,48366.0,40704.3433304
2024,48366.0,40704.3433304
2025,48366.0,40704.3433304
2026,48367.0,40705.3433304
2027,48367.0,40705.3433304
2028,48367.0,40705.3433304
2029,48367.0,40705.3433304
2030,48368.0,40706.3433304
2031,48368.0,40706.3433304
2032,48368.0,40706.3433304
2033,48368.0,40706.3433304
2034,48905.0,41243.3433304
2035,48906.0,41244.3433304
2036,48906.0,41244.3433304
