year,Base case cost,Modeled biomass for heat (cordwood)
2017,273789.87527,278251.746867
2018,291201.63527,292555.565956
2019,314900.97527,312159.146816
2020,325541.49527,320780.559991
2021,332796.39527,326560.486534
2022,338116.65527,330719.873522
2023,341985.93527,333665.585462
2024,344887.89527,335804.491054
2025,348757.17527,338764.593398
2026,353117.416062,342145.983213
2027,356503.106062,344712.83588
2028,359888.796062,347286.310143
2029,363758.156062,350273.304239
2030,366184.076854,352053.023673
2031,371020.876854,355866.706321
2032,375373.996854,359279.347841
2033,379727.116854,362697.870518
2034,388833.492262,370798.775356
2035,391775.803054,373047.690551
2036,396177.343054,376531.462509
