year,Base case cost,"Hughes (creek northwest) -- unnamed creek, northwest of hughes","Hughes -- unnamed creek, west of hughes"
2021,219288.826207,823963.326645,786243.390141
2022,223814.486785,815587.221825,778776.716265
2023,227105.876297,806432.381357,770487.019409
2024,229574.418431,796847.629527,761731.950258
2025,233431.016214,788813.879259,754526.36996
2026,237717.012507,781421.886055,747953.084718
2027,241192.144637,773592.650065,740908.38044
2028,244681.257184,766033.17786,734116.426905
2029,248600.766842,759098.041366,727940.572247
2030,251284.008231,751338.1197,720898.575157
2031,256069.305118,745639.221794,715943.64447
2032,260455.16153,739829.366633,710853.90581
2033,265488.111511,734893.786275,706623.33134
2034,270341.313279,729944.464668,702372.636616
2035,273520.859457,723761.543042,696840.421462
2036,277331.521586,718253.767278,691994.411675
2037,280532.03839,712510.015379,686873.550371
2038,285446.15483,708458.241773,683464.756256
2039,289101.035173,703511.829441,679123.084687
2040,294052.099857,699886.482336,676114.811519
2041,294052.099857,692056.487314,668805.616698
2042,294739.137474,685097.045416,662354.768747
2043,294739.137474,677629.780196,655384.177306
2044,294739.137474,670337.529054,648576.95915
2045,294739.137474,663216.190059,641929.285178
2046,294739.137474,656261.757442,635437.416062
2047,294739.137474,649470.319365,629097.700151
2048,294052.099857,642151.017945,622219.533663
2049,293365.062241,634987.160229,615486.471778
2050,294052.099857,629349.178223,610269.188825
2051,294052.099857,623172.401256,604503.250776
2052,294052.099857,617140.392475,598872.451877
2053,294052.099857,611249.758947,593373.624873
2054,294052.099857,605497.187104,588003.67659
2055,294052.099857,599879.441167,582759.586474
2056,294052.099857,594393.361154,577638.404722
2057,294052.099857,589035.861124,572637.250652
2058,294052.099857,583803.92755,567753.311176
2059,294052.099857,578694.61738,562983.838995
2060,294052.099857,573705.05665,558326.151302
2061,294052.099857,568832.43879,553777.628203
2062,294052.099857,564074.022873,549335.711077
2063,294052.099857,559427.132341,544997.901396
2064,294052.099857,554889.153318,540761.759141
2065,294052.099857,550457.533219,536624.901508
2066,294052.099857,546129.779114,532585.00138
2067,294052.099857,541903.456825,528639.786485
2068,294052.099857,537776.188931,524787.037532
2069,294052.099857,533745.653919,521024.587423
2070,294052.099857,529809.584559,517350.319724
