year,Base case diesel consumed,"Hughes (creek northwest) -- unnamed creek, northwest of hughes","Hughes -- unnamed creek, west of hughes"
2021,41142.3688944,34851.9956922,35795.5516726
2022,41142.3688944,34851.9956922,35795.5516726
2023,41142.3688944,34851.9956922,35795.5516726
2024,41142.3688944,34851.9956922,35795.5516726
2025,41242.2290131,34951.8558109,35895.4117912
2026,41342.0891317,35051.7159296,35995.2719099
2027,41441.9492504,35151.5760483,36095.1320286
2028,41541.8093691,35251.4361669,36194.9921473
2029,41641.6694878,35351.2962856,36294.8522659
2030,41741.5296064,35451.1564043,36394.7123846
2031,41841.3897251,35551.016523,36494.5725033
2032,41941.2498438,35650.8766416,36594.432622
2033,42140.9700811,35850.596879,36794.1528593
2034,42240.8301998,35950.4569977,36894.012978
2035,42340.6903185,36050.3171163,36993.8730967
2036,42340.6903185,36050.3171163,36993.8730967
2037,42440.5504372,36150.177235,37093.7332153
2038,42540.4105558,36250.0373537,37193.593334
2039,42640.2706745,36349.8974724,37293.4534527
2040,42740.1307932,36449.7575911,37393.3135714
2041,42740.1307932,36449.7575911,37393.3135714
2042,42839.9909119,36549.6177097,37493.17369
2043,42839.9909119,36549.6177097,37493.17369
2044,42839.9909119,36549.6177097,37493.17369
2045,42839.9909119,36549.6177097,37493.17369
2046,42839.9909119,36549.6177097,37493.17369
2047,42839.9909119,36549.6177097,37493.17369
2048,42740.1307932,36449.7575911,37393.3135714
2049,42640.2706745,36349.8974724,37293.4534527
2050,42740.1307932,36449.7575911,37393.3135714
2051,42740.1307932,36449.7575911,37393.3135714
2052,42740.1307932,36449.7575911,37393.3135714
2053,42740.1307932,36449.7575911,37393.3135714
2054,42740.1307932,36449.7575911,37393.3135714
2055,42740.1307932,36449.7575911,37393.3135714
2056,42740.1307932,36449.7575911,37393.3135714
2057,42740.1307932,36449.7575911,37393.3135714
2058,42740.1307932,36449.7575911,37393.3135714
2059,42740.1307932,36449.7575911,37393.3135714
2060,42740.1307932,36449.7575911,37393.3135714
2061,42740.1307932,36449.7575911,37393.3135714
2062,42740.1307932,36449.7575911,37393.3135714
2063,42740.1307932,36449.7575911,37393.3135714
2064,42740.1307932,36449.7575911,37393.3135714
2065,42740.1307932,36449.7575911,37393.3135714
2066,42740.1307932,36449.7575911,37393.3135714
2067,42740.1307932,36449.7575911,37393.3135714
2068,42740.1307932,36449.7575911,37393.3135714
2069,42740.1307932,36449.7575911,37393.3135714
2070,42740.1307932,36449.7575911,37393.3135714
