year,Base case cost,Modeled diesel efficiency
2019,132266.271687,276375.703449
2020,140123.673966,279859.414296
2021,145689.333913,281345.48973
2022,149945.426814,281724.806282
2023,152564.560907,280697.772194
2024,154856.303238,279452.985572
2025,157802.829093,278881.461141
2026,161496.217403,279065.078899
2027,164450.416502,278651.097239
2028,166748.126912,277712.954792
2029,170030.570355,277740.96902
2030,172000.036421,276644.649131
2031,175282.479864,276809.603228
2032,178893.167652,277339.03357
2033,182503.855439,277932.987565
2034,186114.543227,278589.953138
2035,188412.253637,278114.837436
2036,192351.185769,279191.833968
2037,194320.651835,278537.090733
2038,198259.583966,279730.07987
