year,Base case diesel consumed,Modeled transmission and interties
2021,65478.3523205,32739.1761603
2022,65478.3523205,32739.1761603
2023,65478.3523205,32739.1761603
2024,65478.3523205,32739.1761603
2025,65478.3523205,32739.1761603
2026,65648.868863,32824.4344315
2027,65648.868863,32824.4344315
2028,65648.868863,32824.4344315
2029,65648.868863,32824.4344315
2030,65648.868863,32824.4344315
2031,65648.868863,32824.4344315
2032,65648.868863,32824.4344315
2033,65648.868863,32824.4344315
2034,65648.868863,32824.4344315
2035,65648.868863,32824.4344315
2036,65648.868863,32824.4344315
2037,65648.868863,32824.4344315
2038,65648.868863,32824.4344315
2039,65648.868863,32824.4344315
2040,65648.868863,32824.4344315
