year,Base case diesel consumed,Modeled residential energy efficiency
2017,24028.2929013,16919.9607856
2018,24028.2929013,16919.9607856
2019,25050.8372886,17942.5051729
2020,25050.8372886,17942.5051729
2021,25050.8372886,17942.5051729
2022,25050.8372886,17942.5051729
2023,25050.8372886,17942.5051729
2024,25050.8372886,17942.5051729
2025,25050.8372886,17942.5051729
2026,25050.8372886,17942.5051729
2027,26073.3816759,18965.0495602
2028,26073.3816759,18965.0495602
2029,26073.3816759,18965.0495602
2030,26073.3816759,18965.0495602
2031,26073.3816759,18965.0495602
