year,Base case diesel consumed,Modeled residential ashp
2017,10567.9055937,1443.30193038
2018,10567.9055937,1443.30193038
2019,10567.9055937,1443.30193038
2020,9315.90133847,191.297675147
2021,10567.9055937,1443.30193038
2022,9315.90133847,191.297675147
2023,9315.90133847,191.297675147
2024,9315.90133847,191.297675147
2025,9315.90133847,191.297675147
2026,9315.90133847,191.297675147
2027,9315.90133847,191.297675147
2028,9315.90133847,191.297675147
2029,9315.90133847,191.297675147
2030,9315.90133847,191.297675147
2031,9315.90133847,191.297675147
