year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,,113350.57,50976.9,,7798.89,29286.5
2018,,120722.73,53896.78,,8650.52,32484.56
2019,,130859.46,57911.6,,9821.51,36881.89
2020,,135697.45,52739.84,,10380.39,35732.23
2021,,138922.77,61105.21,,10752.98,40379.76
2022,,141456.95,54750.73,,11045.73,38022.5
2023,,143299.99,55394.22,,11258.64,38755.39
2024,,144682.27,55876.84,,11418.32,39305.06
2025,,146294.93,56439.89,,11604.61,39946.33
2026,,148368.36,57163.81,,11844.13,40770.83
2027,,150211.4,57807.3,,12057.04,41503.72
2028,,151593.68,58289.91,,12216.72,42053.39
2029,,153436.72,58933.4,,12429.63,42786.27
2030,,154588.62,59335.58,,12562.7,43244.33
2031,,156662.04,60059.5,,12802.22,44068.83
2032,,,60863.86,,,44984.94
2033,,,61587.79,,,45809.44
2034,,,62392.14,,,46725.55
2035,,,62874.76,,,47275.21
2036,,,63679.12,,,48191.32
