year,Base case diesel consumed,Modeled non-residential ashp
2017,23038.0206558,16126.6144659
2018,23038.0206558,16126.6144659
2019,23038.0206558,16126.6144659
2020,23038.0206558,16126.6144659
2021,23038.0206558,16126.6144659
2022,23038.0206558,16126.6144659
2023,23038.0206558,16126.6144659
2024,23038.0206558,16126.6144659
2025,23038.0206558,16126.6144659
2026,23038.0206558,16126.6144659
2027,23038.0206558,16126.6144659
2028,23038.0206558,16126.6144659
2029,23038.0206558,16126.6144659
2030,23038.0206558,16126.6144659
2031,23038.0206558,16126.6144659
