year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,23038.0,17034.6303653
2018,23038.0,17034.6303653
2019,23038.0,17034.6303653
2020,23038.0,17034.6303653
2021,23038.0,17034.6303653
2022,23038.0,17034.6303653
2023,23038.0,17034.6303653
2024,23038.0,17034.6303653
2025,23038.0,17034.6303653
2026,23038.0,17034.6303653
2027,23038.0,17034.6303653
2028,23038.0,17034.6303653
2029,23038.0,17034.6303653
2030,23038.0,17034.6303653
2031,23038.0,17034.6303653
2032,,
2033,,
2034,,
2035,,
2036,,
