year,Base case cost,Modeled residential energy efficiency
2017,80263.404714,77332.6665638
2018,86381.3350931,82370.7887614
2019,94793.4893644,89403.7132472
2020,88472.0623977,82294.9040424
2021,101484.975717,94704.636799
2022,92773.2354239,85471.9029423
2023,94149.6107922,86409.3362767
2024,95181.8923185,87059.1260155
2025,96386.2207658,87860.8767609
2026,97934.6430552,88961.0402784
2027,99311.0184236,89919.7595652
2028,100343.29995,90590.3363671
2029,101719.675318,91558.9649097
2030,102579.909923,92092.6407881
2031,104128.332213,93217.2974668
2032,105848.801423,94493.0917209
2033,107397.223713,95626.7608168
2034,109117.692923,96911.3562578
2035,110149.974449,97613.886468
2036,111870.44366,98906.8753771
