year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5217.70893013,3391.51080459
2018,5216.67389859,3390.83803408
2019,5215.81998271,3390.28298876
2020,5215.01405845,3389.75913799
2021,5214.2424139,3389.25756903
2022,5213.58521502,3388.83038976
2023,5212.95843602,3388.42298341
2024,5212.3990828,3388.05940382
2025,5211.84855592,3387.70156135
2026,5211.31659948,3387.35578966
2027,5210.77654547,3387.00475455
2028,5210.23581666,3386.65328083
2029,5210.11127601,3386.57232941
2030,5210.02835688,3386.51843197
2031,5209.79849383,3386.36902099
