year,Base case cost,Modeled water and wastewater efficiency
2017,26877.5670064,22964.8494232
2018,28620.2486843,24012.213743
2019,31039.8886801,25507.0135477
2020,32218.8397853,26188.3298144
2021,33003.0947834,26612.3395208
2022,33618.7970446,26927.6962109
2023,34065.4935029,27134.0331907
2024,34399.8456947,27268.5640371
2025,34846.8622031,27479.1689388
2026,35350.243878,27728.7870893
2027,35797.138091,27943.1673312
2028,36131.2914952,28085.2806385
2029,36637.2926509,28342.2901021
2030,36918.2951052,28453.1473786
2031,37479.8053977,28750.1349533
